,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.503,0.412,0.086
1,Logistic,SVM,0.11,0.866,0.024
2,Logistic,RF,0.699,0.247,0.054
3,Logistic,ExT,0.791,0.168,0.041
4,Logistic,Ada,0.551,0.368,0.081
5,Logistic,Grad,0.588,0.365,0.047
6,Logistic,XGB,0.913,0.057,0.03
7,Logistic,CatB,0.813,0.15,0.037
8,Logistic,MLP,0.515,0.448,0.038
9,KNN,SVM,0.034,0.954,0.012
10,KNN,RF,0.654,0.291,0.054
11,KNN,ExT,0.75,0.205,0.045
12,KNN,Ada,0.506,0.404,0.089
13,KNN,Grad,0.563,0.388,0.049
14,KNN,XGB,0.841,0.115,0.045
15,KNN,CatB,0.783,0.176,0.041
16,KNN,MLP,0.493,0.461,0.046
17,SVM,RF,0.852,0.13,0.018
18,SVM,ExT,0.888,0.098,0.014
19,SVM,Ada,0.855,0.123,0.022
20,SVM,Grad,0.795,0.185,0.021
21,SVM,XGB,0.947,0.044,0.009
22,SVM,CatB,0.897,0.09,0.013
23,SVM,MLP,0.918,0.065,0.017
24,RF,ExT,0.871,0.035,0.094
25,RF,Ada,0.197,0.718,0.085
26,RF,Grad,0.323,0.58,0.098
27,RF,XGB,0.603,0.308,0.09
28,RF,CatB,0.97,0.007,0.022
29,RF,MLP,0.414,0.559,0.027
30,ExT,Ada,0.078,0.878,0.044
31,ExT,Grad,0.213,0.718,0.069
32,ExT,XGB,0.429,0.457,0.114
33,ExT,CatB,0.535,0.142,0.323
34,ExT,MLP,0.367,0.606,0.027
35,Ada,Grad,0.563,0.35,0.087
36,Ada,XGB,0.93,0.038,0.031
37,Ada,CatB,0.879,0.082,0.039
38,Ada,MLP,0.477,0.491,0.032
39,Grad,XGB,0.647,0.296,0.057
40,Grad,CatB,0.754,0.185,0.061
41,Grad,MLP,0.454,0.522,0.024
42,XGB,CatB,0.521,0.378,0.101
43,XGB,MLP,0.341,0.627,0.032
44,CatB,MLP,0.351,0.623,0.026
